question,answer,source,focus_area
How many people are affected by CHST3-related skeletal dysplasia ?,The prevalence of CHST3-related skeletal dysplasia is unknown. More than 30 affected individuals have been reported.,GHR,CHST3-related skeletal dysplasia
Is X-linked adrenal hypoplasia congenita inherited ?,"How is X-linked adrenal hypoplasia congenita inherited? X-linked adrenal hypoplasia congenita is inherited in an X-linked recessive pattern. A condition is considered X-linked if the mutated gene that causes the disorder is located on the X chromosome, one of the two sex chromosomes. In males (who have only one X chromosome), one altered copy of the gene in each cell is sufficient to cause the condition. In females (who have two X chromosomes), a mutation must be present in both copies of the gene to cause the disorder. Males are affected by X-linked recessive disorders much more frequently than females. A characteristic of X-linked inheritance is that fathers cannot pass X-linked traits to their sons. In X-linked recessive inheritance, a female with one mutated copy of the gene in each cell is called a carrier. She can pass on the altered gene, but usually does not experience signs and symptoms of the disorder. In rare cases, however, females who carry a NR0B1 mutation may experience adrenal insufficiency or signs of hypogonadotropic hypogonadism such as underdeveloped reproductive tissues, delayed puberty, and an absence of menstruation.",GARD,X-linked adrenal hypoplasia congenita
How many people are affected by Coats plus syndrome ?,Coats plus syndrome appears to be a rare disorder. Its prevalence is unknown.,GHR,Coats plus syndrome
How to prevent Kidney Dysplasia ?,Researchers have not found a way to prevent kidney dysplasia caused by genetic factors or certain genetic syndromes. Pregnant women can prevent kidney dysplasia by avoiding the use of certain prescription medications or illegal drugs during pregnancy. Pregnant women should talk with their health care provider before taking any medications during pregnancy.,NIDDK,Kidney Dysplasia
What causes Urinary Incontinence in Children ?,"The exact cause of most cases of nighttime UI is not known. Though a few cases are caused by structural problems in the urinary tract, most cases probably result from a mix of factors including slower physical development, an overproduction of urine at night, and the inability to recognize bladder filling when asleep. Nighttime UI has also been associated with attention deficit hyperactivity disorder (ADHD), OSA, and anxiety. Children also may inherit genes from one or both parents that make them more likely to have nighttime UI.
                
Slower Physical Development
                
Between the ages of 5 and 10, bedwetting may be the result of a small bladder capacity, long sleeping periods, and underdevelopment of the bodys alarms that signal a full or emptying bladder. This form of UI fades away as the bladder grows and the natural alarms become operational.
                
Overproduction of Urine at Night
                
The body produces antidiuretic hormone (ADH), a natural chemical that slows down the production of urine. More ADH is produced at night so the need to urinate lessens. If the body does not produce enough ADH at night, the production of urine may not slow down, leading to bladder overfilling. If a child does not sense the bladder filling and awaken to urinate, wetting will occur.
                
Structural Problems
                
A small number of UI cases are caused by physical problems in the urinary tract. Rarely, a blocked bladder or urethra may cause the bladder to overfill and leak. Nerve damage associated with the birth defect spina bifida can cause UI. In these cases, UI can appear as a constant dribbling of urine.
                
Attention Deficit Hyperactivity Disorder
                
Children with ADHD are three times more likely to have nighttime UI than children without ADHD.2 The connection between ADHD and bedwetting has not been explained, but some experts theorize that both conditions are related to delays in central nervous system development.
                
Obstructive Sleep Apnea
                
Nighttime UI may be one sign of OSA. Other symptoms of OSA include snoring, mouth breathing, frequent ear and sinus infections, sore throat, choking, and daytime drowsiness. Experts believe that when the airway in people with OSA closes, a chemical may be released in the body that increases water production and inhibits the systems that regulate fluid volume. Successful treatment of OSA often resolves the associated nighttime UI.
                
Anxiety
                
Anxiety-causing events that occur between 2 and 4 years of agebefore total bladder control is achievedmight lead to primary enuresis. Anxiety experienced after age 4 might lead to secondary enuresis in children who have been dry for at least 6 months. Events that cause anxiety in children include physical or sexual abuse; unfamiliar social situations, such as moving or starting at a new school; and major family events such as the birth of a sibling, a death, or divorce.
                
UI itself is an anxiety-causing event. Strong bladder contractions resulting in daytime leakage can cause embarrassment and anxiety that lead to nighttime wetting.
                
Genetics
                
Certain genes have been found to contribute to UI. Children have a 30 percent chance of having nighttime UI if one parent was affected as a child. If both parents were affected, there is a 70 percent chance of bedwetting.1",NIDDK,Urinary Incontinence in Children
What are the symptoms of Meckel syndrome type 3 ?,"What are the signs and symptoms of Meckel syndrome type 3? The Human Phenotype Ontology provides the following list of signs and symptoms for Meckel syndrome type 3. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Cleft palate 5% Dandy-Walker malformation 5% Hydrocephalus 5% Autosomal recessive inheritance - Bile duct proliferation - Encephalocele - Hepatic fibrosis - Multicystic kidney dysplasia - Polydactyly - Postaxial hand polydactyly - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Meckel syndrome type 3
What are the symptoms of Aicardi-Goutieres syndrome type 3 ?,"What are the signs and symptoms of Aicardi-Goutieres syndrome type 3? The Human Phenotype Ontology provides the following list of signs and symptoms for Aicardi-Goutieres syndrome type 3. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal recessive inheritance - Cerebral calcification - CSF lymphocytic pleiocytosis - Death in childhood - Delayed myelination - Dystonia - Elevated hepatic transaminases - Encephalopathy - Hepatosplenomegaly - Hyperreflexia - Hypoplasia of the corpus callosum - Muscular hypotonia - Nystagmus - Progressive microcephaly - Severe global developmental delay - Spasticity - Thrombocytopenia - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Aicardi-Goutieres syndrome type 3
What are the symptoms of Radius absent anogenital anomalies ?,"What are the signs and symptoms of Radius absent anogenital anomalies? The Human Phenotype Ontology provides the following list of signs and symptoms for Radius absent anogenital anomalies. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Aplasia/Hypoplasia of the radius 90% Hydrocephalus 90% Oligohydramnios 90% Split hand 90% Displacement of the external urethral meatus 50% Urogenital fistula 50% Absent radius - Anal atresia - Penile hypospadias - X-linked inheritance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Radius absent anogenital anomalies
What are the symptoms of Juvenile Myelomonocytic Leukemia ?,"Signs and symptoms of juvenile myelomonocytic leukemia include fever, weight loss, and feeling very tired. These and other signs and symptoms may be caused by JMML or by other conditions. Check with your doctor if you have any of the following:         -  Fever for no known reason.    - Having infections, such as bronchitis or tonsillitis.    - Feeling very tired.    - Easy bruising or bleeding.    - Skin rash.    - Painless swelling of the lymph nodes in the neck, underarm, stomach, or groin.    - Pain or a feeling of fullness below the ribs.",CancerGov,Juvenile Myelomonocytic Leukemia
What causes Bronchopulmonary Dysplasia ?,"Bronchopulmonary dysplasia (BPD) develops as a result of an infant's lungs becoming irritated or inflamed.
                
The lungs of premature infants are fragile and often aren't fully developed. They can easily be irritated or injured within hours or days of birth. Many factors can damage premature infants' lungs.
                
Ventilation
                
Newborns who have breathing problems or can't breathe on their own may need ventilator support. Ventilators are machines that use pressure to blow air into the airways and lungs.
                
Although ventilator support can help premature infants survive, the machine's pressure might irritate and harm the babies' lungs. For this reason, doctors only recommend ventilator support when necessary.
                
High Levels of Oxygen
                
Newborns who have breathing problems might need oxygen therapy (oxygen given through nasal prongs, a mask, or a breathing tube). This treatment helps the infants' organs get enough oxygen to work well.
                
However, high levels of oxygen can inflame the lining of the lungs and injure the airways. Also, high levels of oxygen can slow lung development in premature infants.
                
Infections
                
Infections can inflame the lungs. As a result, the airways narrow, which makes it harder for premature infants to breathe. Lung infections also increase the babies' need for extra oxygen and breathing support.
                
Heredity
                
Studies show that heredity may play a role in causing BPD. More studies are needed to confirm this finding.",NHLBI,Bronchopulmonary Dysplasia
How to diagnose Overview of Kidney Disease in Children ?,"A health care provider diagnoses kidney disease in children by completing a physical exam, asking for a medical history, and reviewing signs and symptoms. To confirm diagnosis, the health care provider may order one or more of the following tests:
                
Urine Tests
                
Dipstick test for albumin. The presence of albumin in urine is a sign that the kidneys may be damaged. Albumin in urine can be detected with a dipstick test performed on a urine sample. The urine sample is collected in a special container in a health care providers office or a commercial facility and can be tested in the same location or sent to a lab for analysis. With a dipstick test, a nurse or technician places a strip of chemically treated paper, called a dipstick, into the persons urine sample. Patches on the dipstick change color when albumin is present in urine.
                
Urine albumin-to-creatinine ratio. A more precise measurement, such as a urine albumin-to-creatinine ratio, may be necessary to confirm kidney disease. Unlike a dipstick test for albumin, a urine albumin-to-creatinine ratiothe ratio between the amount of albumin and the amount of creatinine in urineis not affected by variation in urine concentration.
                
Blood test. Blood drawn in a health care providers office and sent to a lab for analysis can be tested to estimate how much blood the kidneys filter each minute, called the estimated glomerular filtration rate or eGFR.
                
Imaging studies. Imaging studies provide pictures of the kidneys. The pictures help the health care provider see the size and shape of the kidneys and identify any abnormalities.
                
Kidney biopsy. Kidney biopsy is a procedure that involves taking a small piece of kidney tissue for examination with a microscope. Biopsy results show the cause of the kidney disease and extent of damage to the kidneys.",NIDDK,Overview of Kidney Disease in Children
Do you have information about Molds,"Summary : Molds are fungi that can be found both outdoors and indoors. They grow best in warm, damp and humid conditions. If you have damp or wet spots in your house, you will probably get mold.    Molds can cause health problems. Inhaling or touching mold or mold spores may cause allergic reactions or asthma attacks in sensitive people. Molds can cause fungal infections. In addition, mold exposure may irritate your eyes, skin, nose, throat, and lungs.     Centers for Disease Control and Prevention",MPlusHealthTopics,Molds
What are the symptoms of Liddle syndrome ?,"What are the signs and symptoms of Liddle syndrome? Liddle syndrome is chiefly characterized by severe, early-onset hypertension (high blood pressure). In most affected individuals the condition becomes apparent at a young age, but some are not diagnosed until well into adulthood. Individuals typically present with hypertension, hypokalemia (low blood potassium) and metabolic alkalosis. Symptoms of hypokalemia may include weakness, fatigue, muscle pain (myalgia), constipation or heart palpitations. Some affected individuals are not hypokalemic at the time of presentation. The Human Phenotype Ontology provides the following list of signs and symptoms for Liddle syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Arrhythmia 90% Constipation 90% Hypertension 90% Hypokalemia 90% Cerebral ischemia 50% Muscle weakness 50% Nephropathy 50% Renal insufficiency 50% Autosomal dominant inheritance - Decreased circulating renin level - Hypokalemic alkalosis - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",GARD,Liddle syndrome
What are the treatments for Schinzel-Giedion syndrome ?,These resources address the diagnosis or management of Schinzel-Giedion syndrome:  - Genetic Testing Registry: Schinzel-Giedion syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,Schinzel-Giedion syndrome
